"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"tentat",0.0129678031356885,0.00167632691446765,-460536.199136817,-0.0270767804428231,-0.0467866314273344,-0.00736692945831189,-2.7109129617182,0.00736486526483822,-0.00781564169303378,-0.0265356379860581,0.0109043545999905,-0.821322291724681,0.41205971232685
"achievef",0.0262954268671865,0.0180992526186664,-438030.051767666,-0.0332505492161177,-0.051112205385255,-0.0153888930469805,-3.67181677522324,0.00031239013049313,-0.0073380297778565,-0.0247089729483679,0.0100329133926549,-0.830812442292376,0.406643891269623
"death",0.00566943317002088,0.000979560627472323,-289306.090749418,0.0115039174827523,-0.00832489608669012,0.0313327310521946,1.1461493366164,0.253520354140507,0.0210626389282939,0.000305920794701706,0.041819357061886,2.00135105277226,0.0467498562677792
"time",0.00140040961009309,0.000684339138357448,-418095.311911621,0.0260990168663891,0.0141078264944199,0.0380902072383582,4.28887611713964,2.66235123748134e-05,-0.000555123291616928,-0.0130826004464038,0.0119723538631699,-0.0874580605444844,0.930407815896424
"incl",0.0033690779484343,0.00176426386062728,-431027.845866221,-0.00783512039977729,-0.0207780422478691,0.00510780144831449,-1.19114185206743,0.234510810723337,-0.00252004098653213,-0.0160317222153606,0.0109916402422963,-0.366781629581139,0.713997213523147
"percept",0.00970229393423759,0.00688698490178809,-466255.682525107,-0.0422504205879254,-0.0563877024664456,-0.0281131387094052,-5.91023528481896,2.62083070643744e-08,-0.0136119622059945,-0.0281747723350754,0.000950847923086419,-1.84313994498103,0.066787755706598
"insight",0.00872581340979219,0.00317671816504522,-424381.095827794,0.0309892312727405,0.0147852206158992,0.0471932419295818,3.77901782201947,0.000227161733332606,0.00623466388971706,-0.00994821078362589,0.02241753856306,0.758593812126961,0.448775089725832
"futurem",0.00427902314840582,0.00268174234039148,-497181.880970735,0.0368839187088638,0.0233119444893462,0.0504558929283815,5.35775306985328,2.23099850929434e-07,0.0155841794114188,0.00134574772808212,0.0298226110947555,2.15710470465177,0.0320839716193459
"progm",0.0130144074563662,0.00546419678728384,-465244.570051638,0.0478447314912099,0.0302699768243815,0.0654194861580384,5.37145539664657,2.36624690087412e-07,0.0170148892315069,-0.000283312499085554,0.0343130909620993,1.93494749093557,0.0538495389254528
"relig",0.00312911415087038,0.0021869160799829,-384984.483048769,0.00926079424209155,-0.00525613197691985,0.0237777204611029,1.25342613142416,0.210650087763107,0.0139928079500471,-0.00111646429538548,0.0291020801954798,1.82121480200988,0.0693979787982917
