"","R2c","R2m","deviance","urb.cf","urb.ci_l","urb.ci_u","urb.t","urb.p","gdp.cf","gdp.ci_l","gdp.ci_u","gdp.t","gdp.p"
"incl",0.363738040275234,0.360836123572107,-412825.065595481,-0.00966400345248922,-0.022047094280201,0.00271908737522254,-1.53928375294482,0.125379336721227,-0.00593210681540479,-0.018449685387542,0.00658547175673245,-0.932292036129745,0.351875521684802
"percept",0.221366988951981,0.217274478809991,-450785.711991287,-0.0398764620077021,-0.054085367816494,-0.0256675561989101,-5.5528732408176,1.54765996808097e-07,-0.0120067671938488,-0.0262429996529694,0.00222946526527178,-1.66200514281995,0.0979107660288252
"insight",0.331975778513199,0.323247141837868,-406758.184348009,0.00951119162401259,-0.00740474132119085,0.026427124569216,1.10833093269793,0.268972729474633,0.00515170085756708,-0.0107403317167439,0.021043733431878,0.637355720417325,0.524270665735071
"futurem",0.181639940402719,0.177577127031554,-484745.957035947,0.0260813853869821,0.0113328622968132,0.0408299084771511,3.48362571955216,0.000588043659470838,0.0130955670064511,-0.00194232245747714,0.0281334564703793,1.71205139521999,0.0876712231988859
"progm",0.189924914869311,0.18148306037321,-453480.530941687,0.0262877217419854,0.00889143160043424,0.0436840118835366,2.97880020135699,0.00323253644208558,0.013076675980183,-0.00366605424230025,0.0298194062026662,1.53559508950201,0.125453168336462
"relig",0.0875746763000201,0.0858121502270984,-378569.055377287,0.00831926014541722,-0.00648722535073709,0.0231257456415715,1.10535151761656,0.269824541150085,0.00632258266327159,-0.00912009156889005,0.0217652568954332,0.80524366884085,0.421226802077048
"negate",0.241168710129553,0.235555188251174,-432358.776962498,-0.0332166744212785,-0.0484174415039161,-0.018015907338641,-4.31104193823219,2.63516269425772e-05,-0.0064727123993392,-0.0213948805779074,0.00844945577922897,-0.853219092339826,0.394142124232254
"home",0.0942828229641782,0.0916678434067867,-377276.732210885,-0.0272606323783372,-0.0425543837106404,-0.0119668810460339,-3.51109085050578,0.000531978723055978,-9.64804390678668e-05,-0.0159118982051162,0.0157189373269804,-0.0120016451348378,0.990431728781647
"see",0.119960831177099,0.114649649515648,-459104.928861957,-0.0300829125926475,-0.0465982485290696,-0.0135675766562255,-3.59977215708541,0.000434848914560577,-0.0130518110617163,-0.0296465896557471,0.00354296753231451,-1.54896522674082,0.12264708427772
"tensem",0.325759015817394,0.313979317784804,-404264.699555774,0.0347703408416307,0.0160169933504965,0.0535236883327649,3.65210477000515,0.000318439538069242,0.00864446575377108,-0.00856659536391167,0.0258555268714538,0.987200410425037,0.324100736116608
